UWI,Pressure (psia),Temperature (°F),Gas Flowrate (MSCFD),Liquid Flow Rate (BBL/D),Latitude,Longitude,Status,Formation,H2S,CO2,N2,H2,HE,C1,C2,C3,IC4,NC4,IC5,NC5,C6,C7Plus
100/11-02-082-25W4/02,,50,120.86149999999999,2.5419999999999994,56.09157466813602,-113.800045984782,Active,McMurray,0,0.008862264150943397,0.00300188679245283,0.00028867924528301885,0.0001358490566037735,0.9840358490566037,0.0012415094339622641,0.00038490566037735854,0.0005377358490566035,0.0005075471698113206,0.00034905660377358493,0.0002132075471698113,0.000190566037735849,0.00025094339622641507
100/15-19-081-24W4/02,,50,166.38,1.6791666666666667,56.09157466813602,-113.800045984782,Active,McMurray,0,0.008862264150943397,0.00300188679245283,0.00028867924528301885,0.0001358490566037735,0.9840358490566037,0.0012415094339622641,0.00038490566037735854,0.0005377358490566035,0.0005075471698113206,0.00034905660377358493,0.0002132075471698113,0.000190566037735849,0.00025094339622641507
100/08-07-081-24W4/03,,50,243.2865,4.0713333333333335,56.09157466813602,-113.800045984782,Active,Wabiskaw,0,0.008862264150943397,0.00300188679245283,0.00028867924528301885,0.0001358490566037735,0.9840358490566037,0.0012415094339622641,0.00038490566037735854,0.0005377358490566035,0.0005075471698113206,0.00034905660377358493,0.0002132075471698113,0.000190566037735849,0.00025094339622641507
100/10-36-081-25W4/03,,50,162.88424999999998,1.43375,56.09157466813602,-113.800045984782,Active,Wabamun,0,0.008862264150943397,0.00300188679245283,0.00028867924528301885,0.0001358490566037735,0.9840358490566037,0.0012415094339622641,0.00038490566037735854,0.0005377358490566035,0.0005075471698113206,0.00034905660377358493,0.0002132075471698113,0.000190566037735849,0.00025094339622641507
102/10-06-081-24W4/03,,50,16.638,0.3720000000000001,56.09157466813602,-113.800045984782,Active,Wabamun,0,0.008862264150943397,0.00300188679245283,0.00028867924528301885,0.0001358490566037735,0.9840358490566037,0.0012415094339622641,0.00038490566037735854,0.0005377358490566035,0.0005075471698113206,0.00034905660377358493,0.0002132075471698113,0.000190566037735849,0.00025094339622641507
100/11-30-081-24W4/02,,50,120.86149999999999,2.5419999999999994,56.09157466813602,-113.800045984782,Suspended,,0,0.008862264150943397,0.00300188679245283,0.00028867924528301885,0.0001358490566037735,0.9840358490566037,0.0012415094339622641,0.00038490566037735854,0.0005377358490566035,0.0005075471698113206,0.00034905660377358493,0.0002132075471698113,0.000190566037735849,0.00025094339622641507
100/12-32-080-24W4/02,,50,382.7625,6.298166666666667,56.09157466813602,-113.800045984782,Active,Wabamun,0,0.008862264150943397,0.00300188679245283,0.00028867924528301885,0.0001358490566037735,0.9840358490566037,0.0012415094339622641,0.00038490566037735854,0.0005377358490566035,0.0005075471698113206,0.00034905660377358493,0.0002132075471698113,0.000190566037735849,0.00025094339622641507
100/13-20-081-24W4/04,,50,15.1925,0.5166666666666666,56.09157466813602,-113.800045984782,Location,Mannville,0,0.008862264150943397,0.00300188679245283,0.00028867924528301885,0.0001358490566037735,0.9840358490566037,0.0012415094339622641,0.00038490566037735854,0.0005377358490566035,0.0005075471698113206,0.00034905660377358493,0.0002132075471698113,0.000190566037735849,0.00025094339622641507
100/13-05-081-24W4/03,,50,15.1925,0.5166666666666666,56.09157466813602,-113.800045984782,Active,Wabamun,0,0.008862264150943397,0.00300188679245283,0.00028867924528301885,0.0001358490566037735,0.9840358490566037,0.0012415094339622641,0.00038490566037735854,0.0005377358490566035,0.0005075471698113206,0.00034905660377358493,0.0002132075471698113,0.000190566037735849,0.00025094339622641507
100/14-17-081-24W4/02,,50,44.958,0.0,56.09157466813602,-113.800045984782,Active,Winterburn,0,0.008862264150943397,0.00300188679245283,0.00028867924528301885,0.0001358490566037735,0.9840358490566037,0.0012415094339622641,0.00038490566037735854,0.0005377358490566035,0.0005075471698113206,0.00034905660377358493,0.0002132075471698113,0.000190566037735849,0.00025094339622641507
100/15-29-080-24W4/02,,50,68.086,0.9351666666666666,56.09157466813602,-113.800045984782,Active,Wabiskaw,0,0.008862264150943397,0.00300188679245283,0.00028867924528301885,0.0001358490566037735,0.9840358490566037,0.0012415094339622641,0.00038490566037735854,0.0005377358490566035,0.0005075471698113206,0.00034905660377358493,0.0002132075471698113,0.000190566037735849,0.00025094339622641507
100/04-07-081-24W4/02,,50,108.4125,,56.00199948211903,-113.758932917821,Active,Wabamun,0,0.008862264150943397,0.00300188679245283,0.00028867924528301885,0.0001358490566037735,0.9840358490566037,0.0012415094339622641,0.00038490566037735854,0.0005377358490566035,0.0005075471698113206,0.00034905660377358493,0.0002132075471698113,0.000190566037735849,0.00025094339622641507
100/06-18-081-24W4/02,,50,78.2635,,56.02012527134795,-113.753482918861,Active,Wabamun,0,0.008862264150943397,0.00300188679245283,0.00028867924528301885,0.0001358490566037735,0.9840358490566037,0.0012415094339622641,0.00038490566037735854,0.0005377358490566035,0.0005075471698113206,0.00034905660377358493,0.0002132075471698113,0.000190566037735849,0.00025094339622641507
100/06-19-081-24W4/02,,50,77.09333333333333,,56.03515611041615,-113.757121921525,Active,Wabamun,0,0.008862264150943397,0.00300188679245283,0.00028867924528301885,0.0001358490566037735,0.9840358490566037,0.0012415094339622641,0.00038490566037735854,0.0005377358490566035,0.0005075471698113206,0.00034905660377358493,0.0002132075471698113,0.000190566037735849,0.00025094339622641507
102/06-19-081-24W4/00,,50,129.53449999999998,1.7463333333333335,56.09157466813602,-113.800045984782,Active,Mannville,0,0.008862264150943397,0.00300188679245283,0.00028867924528301885,0.0001358490566037735,0.9840358490566037,0.0012415094339622641,0.00038490566037735854,0.0005377358490566035,0.0005075471698113206,0.00034905660377358493,0.0002132075471698113,0.000190566037735849,0.00025094339622641507
102/06-20-081-24W4/02,,50,13.039,0.31000000000000005,56.09157466813602,-113.800045984782,Active,Mannville,0,0.008862264150943397,0.00300188679245283,0.00028867924528301885,0.0001358490566037735,0.9840358490566037,0.0012415094339622641,0.00038490566037735854,0.0005377358490566035,0.0005075471698113206,0.00034905660377358493,0.0002132075471698113,0.000190566037735849,0.00025094339622641507
100/06-21-080-24W4/03,,50,77.09333333333333,,56.03515611041615,-113.757121921525,Suspended,Wabamun,0,0.008862264150943397,0.00300188679245283,0.00028867924528301885,0.0001358490566037735,0.9840358490566037,0.0012415094339622641,0.00038490566037735854,0.0005377358490566035,0.0005075471698113206,0.00034905660377358493,0.0002132075471698113,0.000190566037735849,0.00025094339622641507
100/06-30-081-24W4/00,,50,136.939,,56.04755497268927,-113.757292923063,Active,Wabamun,0,0.008862264150943397,0.00300188679245283,0.00028867924528301885,0.0001358490566037735,0.9840358490566037,0.0012415094339622641,0.00038490566037735854,0.0005377358490566035,0.0005075471698113206,0.00034905660377358493,0.0002132075471698113,0.000190566037735849,0.00025094339622641507
100/06-08-081-24W4/00,,50,348.9555,,56.00199948211903,-113.758932917821,Active,Wabamun,0,0.008862264150943397,0.00300188679245283,0.00028867924528301885,0.0001358490566037735,0.9840358490566037,0.0012415094339622641,0.00038490566037735854,0.0005377358490566035,0.0005075471698113206,0.00034905660377358493,0.0002132075471698113,0.000190566037735849,0.00025094339622641507
102/06-08-081-24W4/00,,50,230.68999999999997,,56.09157466813602,-113.800045984782,Active,Clearwater,0,0.008862264150943397,0.00300188679245283,0.00028867924528301885,0.0001358490566037735,0.9840358490566037,0.0012415094339622641,0.00038490566037735854,0.0005377358490566035,0.0005075471698113206,0.00034905660377358493,0.0002132075471698113,0.000190566037735849,0.00025094339622641507
100/06-09-081-24W4/03,,50,284.61600000000004,,56.00199948211903,-113.758932917821,Active,Wabiskaw,0,0.008862264150943397,0.00300188679245283,0.00028867924528301885,0.0001358490566037735,0.9840358490566037,0.0012415094339622641,0.00038490566037735854,0.0005377358490566035,0.0005075471698113206,0.00034905660377358493,0.0002132075471698113,0.000190566037735849,0.00025094339622641507
100/07-10-082-25W4/00,,50,149.978,,56.09330577119652,-113.829254011242,Active,Wabamun,0,0.008862264150943397,0.00300188679245283,0.00028867924528301885,0.0001358490566037735,0.9840358490566037,0.0012415094339622641,0.00038490566037735854,0.0005377358490566035,0.0005075471698113206,0.00034905660377358493,0.0002132075471698113,0.000190566037735849,0.00025094339622641507
100/07-11-082-25W4/03,,50,150.037,,56.09157466813602,-113.800045984782,Active,,0,0.008862264150943397,0.00300188679245283,0.00028867924528301885,0.0001358490566037735,0.9840358490566037,0.0012415094339622641,0.00038490566037735854,0.0005377358490566035,0.0005075471698113206,0.00034905660377358493,0.0002132075471698113,0.000190566037735849,0.00025094339622641507
